,YEAR,COUNTY,ZIP,NGROUP,AVG_WAGE
231,1989.0,20047.0,67552.0,12.0,24128.566075645
232,1989.0,20047.0,67552.0,13.0,24128.566075645
233,1989.0,20047.0,67552.0,14.0,24128.566075645
234,1989.0,20047.0,67552.0,15.0,23654.446451775
235,1989.0,20047.0,67552.0,16.0,23654.446451775
236,1989.0,20047.0,67552.0,17.0,9874.05651451
237,1989.0,20047.0,67552.0,18.0,9874.05651451
238,1989.0,20047.0,67552.0,19.0,30446.72541113
239,1989.0,20047.0,67552.0,20.0,30446.72541113
240,1989.0,20185.0,67557.0,1.0,30316.857861982997
241,1989.0,20185.0,67557.0,2.0,30316.857861982997
242,1989.0,20185.0,67557.0,3.0,35126.07995976
243,1989.0,20185.0,67557.0,4.0,30316.857861982997
244,1989.0,20185.0,67557.0,5.0,30316.857861982997
245,1989.0,20185.0,67557.0,6.0,35126.07995976
246,1989.0,20185.0,67557.0,7.0,35126.07995976
247,1989.0,20185.0,67557.0,8.0,35126.07995976
248,1989.0,20185.0,67557.0,9.0,30316.857861982997
249,1989.0,20185.0,67557.0,10.0,41087.618882507995
250,1989.0,20185.0,67557.0,11.0,27414.421208031006
251,1989.0,20185.0,67557.0,12.0,32215.397747132003
252,1989.0,20185.0,67557.0,13.0,32215.397747132003
253,1989.0,20185.0,67557.0,14.0,32215.397747132003
254,1989.0,20185.0,67557.0,15.0,20319.117967333
255,1989.0,20185.0,67557.0,16.0,20319.117967333
256,1989.0,20185.0,67557.0,17.0,9645.242261251
257,1989.0,20185.0,67557.0,18.0,9645.242261251
258,1989.0,20185.0,67557.0,19.0,30316.857861982997
259,1989.0,20185.0,67557.0,20.0,30316.857861982997
260,1989.0,20155.0,67561.0,1.0,39337.499053527004
261,1989.0,20155.0,67561.0,2.0,39337.499053527004
262,1989.0,20155.0,67561.0,3.0,39920.872329854
263,1989.0,20155.0,67561.0,4.0,37552.335600173
264,1989.0,20155.0,67561.0,5.0,48747.742892512004
265,1989.0,20155.0,67561.0,6.0,39920.872329854
266,1989.0,20155.0,67561.0,7.0,39920.872329854
267,1989.0,20155.0,67561.0,8.0,39920.872329854
268,1989.0,20155.0,67561.0,9.0,44862.023366447
269,1989.0,20155.0,67561.0,10.0,42468.749960738
270,1989.0,20155.0,67561.0,11.0,35822.829667882004
271,1989.0,20155.0,67561.0,12.0,42310.022956225
272,1989.0,20155.0,67561.0,13.0,42310.022956225
273,1989.0,20155.0,67561.0,14.0,42310.022956225
