,YEAR,COUNTY,ZIP,COLLEGE_COMP,HIGHSCHOOL_COMP,UNEMPLOYMENT_RATE,NAIRPORTS,LAND_AREA,MED_INC,MED_VALUE,HOME_OWNERSHIP
29,1989.0,20083.0,67854.0,24.628252788104092,36.988847583643114,1.4,1.0,1452.02016,52002.677179863,54832.9651954,84.07871198568873
30,1989.0,20075.0,67857.0,15.384615384615385,29.23076923076923,1.0,0.0,516.936498,35645.550156348,66995.16424249999,78.37837837837837
31,1989.0,20015.0,67002.0,27.916440586001087,27.0482908301682,3.4,1.0,95.560921,72779.42365371401,160169.9772813,78.92183288409703
32,1989.0,20015.0,67010.0,19.005663939584643,36.16110761485211,3.4,3.0,271.482714,60745.030766092,112139.59799360001,74.24096385542168
33,1989.0,20015.0,67012.0,17.808219178082194,42.46575342465753,3.4,0.0,25.072269,23949.225174442003,0.0,100.0
34,1989.0,20173.0,67016.0,12.96,52.0,4.2,0.0,0.781857,61718.00668986,89052.0337008,90.43209876543209
35,1989.0,20015.0,67017.0,25.90246991766941,33.31222292590247,3.4,1.0,149.469253,80864.193935532,138113.107823,81.8941504178273
36,1989.0,20079.0,67020.0,19.408740359897173,37.789203084832906,3.1,1.0,210.077269,53866.173440639,60398.717301699995,70.74829931972789
37,1989.0,20173.0,67030.0,17.232142857142858,38.57142857142857,4.2,0.0,105.01244799999999,70509.833628145,133165.7726174,79.19847328244275
38,1989.0,20173.0,67212.0,35.51594811272064,26.87953755634312,4.2,0.0,32.871644,84306.714682762,152748.97447289998,70.3193906187358
39,1989.0,20173.0,67213.0,14.066540251680744,39.36677584324542,4.2,0.0,16.789151,44457.990991323,81218.7529586,52.87379832276539
40,1989.0,20173.0,67216.0,11.285731963865857,40.7746566019057,4.2,1.0,31.76775,55626.600217965,93380.95200569999,69.86505032021958
41,1989.0,20173.0,67228.0,29.05811623246493,25.250501002004015,4.2,0.0,20.569998000000002,89155.10318425,190266.26644870001,83.62989323843415
42,1989.0,20173.0,67230.0,45.65943238731219,18.224819143016134,4.2,0.0,25.560541,122993.98415119408,137494.69092229998,92.40506329113924
43,1989.0,20173.0,67232.0,60.465116279069775,5.813953488372092,4.2,0.0,8.951839,155061.853681518,233349.31053080002,100.0
44,1989.0,8099.0,81041.0,13.0718954248366,22.222222222222218,5.6,0.0,1187.727529,36647.385535482004,48030.379287699994,58.64978902953587
