,YEAR,COUNTY,NGROUP,AVG_WAGE
211,1989.0,20093.0,12.0,36465.98324461
212,1989.0,20093.0,13.0,36465.98324461
213,1989.0,20093.0,14.0,36465.98324461
214,1989.0,20093.0,15.0,36465.98324461
215,1989.0,20093.0,16.0,36465.98324461
216,1989.0,20093.0,17.0,8934.062825445999
217,1989.0,20093.0,18.0,8934.062825445999
218,1989.0,20093.0,19.0,36465.98324461
219,1989.0,20093.0,20.0,36465.98324461
220,1989.0,20083.0,1.0,30452.909580137002
221,1989.0,20083.0,2.0,30452.909580137002
222,1989.0,20083.0,3.0,32551.404263179
223,1989.0,20083.0,4.0,30452.909580137002
224,1989.0,20083.0,5.0,30452.909580137002
225,1989.0,20083.0,6.0,32551.404263179
226,1989.0,20083.0,7.0,32551.404263179
227,1989.0,20083.0,8.0,32551.404263179
228,1989.0,20083.0,9.0,30452.909580137002
229,1989.0,20083.0,10.0,30452.909580137002
230,1989.0,20083.0,11.0,30452.909580137002
231,1989.0,20083.0,12.0,30452.909580137002
232,1989.0,20083.0,13.0,30452.909580137002
233,1989.0,20083.0,14.0,30452.909580137002
234,1989.0,20083.0,15.0,30452.909580137002
235,1989.0,20083.0,16.0,30452.909580137002
236,1989.0,20083.0,17.0,30452.909580137002
237,1989.0,20083.0,18.0,30452.909580137002
238,1989.0,20083.0,19.0,30452.909580137002
239,1989.0,20083.0,20.0,30452.909580137002
240,1989.0,20079.0,1.0,36573.175507397995
241,1989.0,20079.0,2.0,36573.175507397995
242,1989.0,20079.0,3.0,29282.040248145
243,1989.0,20079.0,4.0,43330.41084238
244,1989.0,20079.0,5.0,46144.207740565
245,1989.0,20079.0,6.0,29282.040248145
246,1989.0,20079.0,7.0,29282.040248145
247,1989.0,20079.0,8.0,29282.040248145
248,1989.0,20079.0,9.0,39345.744612203
249,1989.0,20079.0,10.0,34460.251096673
250,1989.0,20079.0,11.0,31955.662648838
251,1989.0,20079.0,12.0,30766.240809825
252,1989.0,20079.0,13.0,30766.240809825
253,1989.0,20079.0,14.0,30766.240809825
254,1989.0,20079.0,15.0,41225.731990331
255,1989.0,20079.0,16.0,41225.731990331
256,1989.0,20079.0,17.0,11362.379855528001
257,1989.0,20079.0,18.0,11362.379855528001
258,1989.0,20079.0,19.0,24132.688854982996
259,1989.0,20079.0,20.0,24132.688854982996
260,1989.0,20075.0,1.0,30193.174481842998
261,1989.0,20075.0,2.0,30193.174481842998
262,1989.0,20075.0,3.0,28504.896342932003
263,1989.0,20075.0,4.0,30193.174481842998
264,1989.0,20075.0,5.0,30193.174481842998
265,1989.0,20075.0,6.0,28504.896342932003
266,1989.0,20075.0,7.0,28504.896342932003
267,1989.0,20075.0,8.0,28504.896342932003
268,1989.0,20075.0,9.0,30193.174481842998
269,1989.0,20075.0,10.0,30193.174481842998
270,1989.0,20075.0,11.0,25132.462844447997
271,1989.0,20075.0,12.0,30193.174481842998
272,1989.0,20075.0,13.0,30193.174481842998
273,1989.0,20075.0,14.0,30193.174481842998
274,1989.0,20075.0,15.0,30193.174481842998
275,1989.0,20075.0,16.0,30193.174481842998
276,1989.0,20075.0,17.0,30193.174481842998
277,1989.0,20075.0,18.0,30193.174481842998
278,1989.0,20075.0,19.0,14357.579044585
279,1989.0,20075.0,20.0,14357.579044585
280,1989.0,20073.0,1.0,27105.212757681
281,1989.0,20073.0,2.0,27105.212757681
282,1989.0,20073.0,3.0,25823.028383563
283,1989.0,20073.0,4.0,36410.325723547
284,1989.0,20073.0,5.0,34569.50474913
285,1989.0,20073.0,6.0,25823.028383563
286,1989.0,20073.0,7.0,25823.028383563
287,1989.0,20073.0,8.0,25823.028383563
288,1989.0,20073.0,9.0,40314.597756633
289,1989.0,20073.0,10.0,36294.887902083
290,1989.0,20073.0,11.0,23532.824461304
291,1989.0,20073.0,12.0,26156.973509941003
292,1989.0,20073.0,13.0,26156.973509941003
293,1989.0,20073.0,14.0,26156.973509941003
294,1989.0,20073.0,15.0,24316.152535523997
295,1989.0,20073.0,16.0,24316.152535523997
296,1989.0,20073.0,17.0,9746.250355032
297,1989.0,20073.0,18.0,9746.250355032
298,1989.0,20073.0,19.0,16680.765201548
299,1989.0,20073.0,20.0,16680.765201548
300,1989.0,20069.0,1.0,38327.418115717
301,1989.0,20069.0,2.0,38327.418115717
302,1989.0,20069.0,3.0,44468.297939667995
303,1989.0,20069.0,4.0,29275.856079137997
304,1989.0,20069.0,5.0,29830.369900099
305,1989.0,20069.0,6.0,44468.297939667995
306,1989.0,20069.0,7.0,44468.297939667995
307,1989.0,20069.0,8.0,44468.297939667995
308,1989.0,20069.0,9.0,38327.418115717
309,1989.0,20069.0,10.0,49943.348900532
310,1989.0,20069.0,11.0,40834.067953221
311,1989.0,20069.0,12.0,46869.816904053
312,1989.0,20069.0,13.0,46869.816904053
313,1989.0,20069.0,14.0,46869.816904053
314,1989.0,20069.0,15.0,20457.231075156
315,1989.0,20069.0,16.0,20457.231075156
316,1989.0,20069.0,17.0,38327.418115717
317,1989.0,20069.0,18.0,38327.418115717
318,1989.0,20069.0,19.0,31751.585071607
319,1989.0,20069.0,20.0,31751.585071607
320,1989.0,20057.0,1.0,35317.789198977
321,1989.0,20057.0,2.0,35317.789198977
